Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/busca/?vivo=true&habilidade=matador&mais_votado=false,2622,0,260.0,264.0074033280078,235.50165699998615,770.3155309991416,152.0,7.280182649244455,0.0,260,270,270,270,280,290,300,360,670,770,770
GET,/elenco,2570,0,260.0,265.69651442179656,236.23838999992586,886.4436250005383,2670.0,7.135800689762871,0.0,260,270,270,270,280,290,320,370,690,890,890
,Aggregated,5192,0,260.0,264.84350030625046,235.50165699998615,886.4436250005383,1398.3906009244993,14.415983339007326,0.0,260,270,270,270,280,290,310,370,680,890,890
